,交易时间,月份,来源,收/支,支付状态,类型,交易对方,商品,金额,逻辑1,逻辑2,乘后金额
0,2023-12-10 18:17:55,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,商城路--三林东,4.0,-1,1,-4.0
1,2023-12-10 14:17:04,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,马当路--商城路,3.0,-1,1,-3.0
2,2023-12-10 13:21:41,12,支付宝,不计收支,交易成功,即时到账交易,美团,大众点评订单-23121011100400000021574530283011,5.9,-1,1,-5.9
3,2023-12-10 13:13:45,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--西藏南路,4.0,-1,1,-4.0
4,2023-12-09 20:16:12,12,支付宝,支出,交易成功,即时到账交易,Valve,S2P1172140557 Steam Purchase,15.8,-1,1,-15.8
5,2023-12-09 16:25:52,12,支付宝,不计收支,支付成功,支付宝担保交易,一个**6,过香港个人开户香港银行美国新加坡汇丰渣打永隆0门槛港卡办理,2199.78,-1,1,-2199.78
6,2023-12-09 14:59:28,12,支付宝,不计收支,交易成功,即时到账交易,拼多多平台商户,商户单号XP1223120914201865607962004364,38.23,-1,1,-38.23
7,2023-12-09 12:25:11,12,支付宝,不计收支,交易成功,即时到账交易,上海盒马,美国风味杂菜 1kg等3类商品,146.99,-1,1,-146.99
8,2023-12-09 12:01:21,12,支付宝,不计收支,交易成功,即时到账交易,蒸蒸日上馒头,个人何兴娟666726,10.0,-1,1,-10.0
9,2023-12-09 11:14:18,12,支付宝,不计收支,交易成功,即时到账交易,**军,收钱码收款,15.0,-1,1,-15.0
10,2023-12-08 19:35:36,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
11,2023-12-08 11:43:50,12,支付宝,不计收支,交易成功,即时到账交易,上海逸刻新零售网络科技有限公司,照烧鸡骰子牛肉双拼饭,19.9,-1,1,-19.9
12,2023-12-08 08:49:23,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,三林东--静安寺,4.0,-1,1,-4.0
13,2023-12-08 08:39:57,12,支付宝,不计收支,交易成功,即时到账交易,麦当劳,上海金拱门食品有限公司,13.5,-1,1,-13.5
14,2023-12-07 19:40:18,12,支付宝,不计收支,交易成功,即时到账交易,上海醉食汇,上海醉食汇安盛街店,4.2,-1,1,-4.2
15,2023-12-07 19:29:46,12,支付宝,不计收支,交易成功,即时到账交易,上海都畅数字技术有限公司,静安寺--三林东,4.0,-1,1,-4.0
